Municipios > 100000 hab.;Sexo;Grupo de edad;Total
Madrid. Alcalá de Henares;mujeres;menos de 24 horas;..
Madrid. Alcalá de Henares;mujeres;de 1 a 6 días;..
Madrid. Alcalá de Henares;mujeres;de 7 a 27 días;..
Madrid. Alcalá de Henares;mujeres;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;mujeres;de 3 a 5 meses;..
Madrid. Alcalá de Henares;mujeres;de 6 a 8 meses;..
Madrid. Alcalá de Henares;mujeres;de 9 a 11 meses;..
Madrid. Alcobendas;ambos sexos;Total;3
Madrid. Alcobendas;ambos sexos;menos de 24 horas;..
Madrid. Alcobendas;ambos sexos;de 1 a 6 días;..
Madrid. Alcobendas;ambos sexos;de 7 a 27 días;1
Madrid. Alcobendas;ambos sexos;de 28 días a 2 meses;2
Madrid. Alcobendas;ambos sexos;de 3 a 5 meses;..
Madrid. Alcobendas;ambos sexos;de 6 a 8 meses;..
Madrid. Alcobendas;ambos sexos;de 9 a 11 meses;..
Madrid. Alcobendas;hombres;Total;2
Madrid. Alcobendas;hombres;menos de 24 horas;..
Madrid. Alcobendas;hombres;de 1 a 6 días;..
Madrid. Alcobendas;hombres;de 7 a 27 días;1
Madrid. Alcobendas;hombres;de 28 días a 2 meses;1
Madrid. Alcobendas;hombres;de 3 a 5 meses;..
Madrid. Alcobendas;hombres;de 6 a 8 meses;..
Madrid. Alcobendas;hombres;de 9 a 11 meses;..
Madrid. Alcobendas;mujeres;Total;1
Madrid. Alcobendas;mujeres;menos de 24 horas;..
Madrid. Alcobendas;mujeres;de 1 a 6 días;..
Madrid. Alcobendas;mujeres;de 7 a 27 días;..
Madrid. Alcobendas;mujeres;de 28 días a 2 meses;1
Madrid. Alcobendas;mujeres;de 3 a 5 meses;..
Madrid. Alcobendas;mujeres;de 6 a 8 meses;..
Madrid. Alcobendas;mujeres;de 9 a 11 meses;..
Madrid. Alcorcón;ambos sexos;Total;4
Madrid. Alcorcón;ambos sexos;menos de 24 horas;..
Madrid. Alcorcón;ambos sexos;de 1 a 6 días;1
Madrid. Alcorcón;ambos sexos;de 7 a 27 días;2
Madrid. Alcorcón;ambos sexos;de 28 días a 2 meses;..
Madrid. Alcorcón;ambos sexos;de 3 a 5 meses;1
Madrid. Alcorcón;ambos sexos;de 6 a 8 meses;..
Madrid. Alcorcón;ambos sexos;de 9 a 11 meses;..
Madrid. Alcorcón;hombres;Total;2
Madrid. Alcorcón;hombres;menos de 24 horas;..
Madrid. Alcorcón;hombres;de 1 a 6 días;1
Madrid. Alcorcón;hombres;de 7 a 27 días;1
Madrid. Alcorcón;hombres;de 28 días a 2 meses;..
Madrid. Alcorcón;hombres;de 3 a 5 meses;..
Madrid. Alcorcón;hombres;de 6 a 8 meses;..
Madrid. Alcorcón;hombres;de 9 a 11 meses;..
Madrid. Alcorcón;mujeres;Total;2
Madrid. Alcorcón;mujeres;menos de 24 horas;..
Madrid. Alcorcón;mujeres;de 1 a 6 días;..
Madrid. Alcorcón;mujeres;de 7 a 27 días;1
Madrid. Alcorcón;mujeres;de 28 días a 2 meses;..
Madrid. Alcorcón;mujeres;de 3 a 5 meses;1
Madrid. Alcorcón;mujeres;de 6 a 8 meses;..
Madrid. Alcorcón;mujeres;de 9 a 11 meses;..
Madrid. Fuenlabrada;ambos sexos;Total;5
Madrid. Fuenlabrada;ambos sexos;menos de 24 horas;4
Madrid. Fuenlabrada;ambos sexos;de 1 a 6 días;..
Madrid. Fuenlabrada;ambos sexos;de 7 a 27 días;1
Madrid. Fuenlabrada;ambos sexos;de 28 días a 2 meses;..
Madrid. Fuenlabrada;ambos sexos;de 3 a 5 meses;..
Madrid. Fuenlabrada;ambos sexos;de 6 a 8 meses;..
Madrid. Fuenlabrada;ambos sexos;de 9 a 11 meses;..
Madrid. Fuenlabrada;hombres;Total;4
Madrid. Fuenlabrada;hombres;menos de 24 horas;3
Madrid. Fuenlabrada;hombres;de 1 a 6 días;..
Madrid. Fuenlabrada;hombres;de 7 a 27 días;1
Madrid. Fuenlabrada;hombres;de 28 días a 2 meses;..
Madrid. Fuenlabrada;hombres;de 3 a 5 meses;..
Madrid. Fuenlabrada;hombres;de 6 a 8 meses;..
Madrid. Fuenlabrada;hombres;de 9 a 11 meses;..
Madrid. Fuenlabrada;mujeres;Total;1
Madrid. Fuenlabrada;mujeres;menos de 24 horas;1
Madrid. Fuenlabrada;mujeres;de 1 a 6 días;..
Madrid. Fuenlabrada;mujeres;de 7 a 27 días;..
Madrid. Fuenlabrada;mujeres;de 28 días a 2 meses;..
Madrid. Fuenlabrada;mujeres;de 3 a 5 meses;..
Madrid. Fuenlabrada;mujeres;de 6 a 8 meses;..
Madrid. Fuenlabrada;mujeres;de 9 a 11 meses;..
Madrid. Getafe;ambos sexos;Total;5
Madrid. Getafe;ambos sexos;menos de 24 horas;1
Madrid. Getafe;ambos sexos;de 1 a 6 días;2
Madrid. Getafe;ambos sexos;de 7 a 27 días;..
Madrid. Getafe;ambos sexos;de 28 días a 2 meses;1
Madrid. Getafe;ambos sexos;de 3 a 5 meses;1
Madrid. Getafe;ambos sexos;de 6 a 8 meses;..
Madrid. Getafe;ambos sexos;de 9 a 11 meses;..
Madrid. Getafe;hombres;Total;4
Madrid. Getafe;hombres;menos de 24 horas;1
Madrid. Getafe;hombres;de 1 a 6 días;1
Madrid. Getafe;hombres;de 7 a 27 días;..
Madrid. Getafe;hombres;de 28 días a 2 meses;1
Madrid. Getafe;hombres;de 3 a 5 meses;1
Madrid. Getafe;hombres;de 6 a 8 meses;..
Madrid. Getafe;hombres;de 9 a 11 meses;..
Madrid. Getafe;mujeres;Total;1
Madrid. Getafe;mujeres;menos de 24 horas;..
Madrid. Getafe;mujeres;de 1 a 6 días;1
Madrid. Getafe;mujeres;de 7 a 27 días;..
Madrid. Getafe;mujeres;de 28 días a 2 meses;..
Madrid. Getafe;mujeres;de 3 a 5 meses;..
Madrid. Getafe;mujeres;de 6 a 8 meses;..
Madrid. Getafe;mujeres;de 9 a 11 meses;..
Madrid. Leganés;ambos sexos;Total;2
Madrid. Leganés;ambos sexos;menos de 24 horas;2
Madrid. Leganés;ambos sexos;de 1 a 6 días;..
Madrid. Leganés;ambos sexos;de 7 a 27 días;..
Madrid. Leganés;ambos sexos;de 28 días a 2 meses;..
Madrid. Leganés;ambos sexos;de 3 a 5 meses;..
Madrid. Leganés;ambos sexos;de 6 a 8 meses;..
Madrid. Leganés;ambos sexos;de 9 a 11 meses;..
Madrid. Leganés;hombres;Total;2
Madrid. Leganés;hombres;menos de 24 horas;2
Madrid. Leganés;hombres;de 1 a 6 días;..
Madrid. Leganés;hombres;de 7 a 27 días;..
Madrid. Leganés;hombres;de 28 días a 2 meses;..
Madrid. Leganés;hombres;de 3 a 5 meses;..
Madrid. Leganés;hombres;de 6 a 8 meses;..
Madrid. Leganés;hombres;de 9 a 11 meses;..
Madrid. Leganés;mujeres;Total;..
Madrid. Leganés;mujeres;menos de 24 horas;..
Madrid. Leganés;mujeres;de 1 a 6 días;..
Madrid. Leganés;mujeres;de 7 a 27 días;..
Madrid. Leganés;mujeres;de 28 días a 2 meses;..
Madrid. Leganés;mujeres;de 3 a 5 meses;..
Madrid. Leganés;mujeres;de 6 a 8 meses;..
Madrid. Leganés;mujeres;de 9 a 11 meses;..
Madrid. Móstoles;ambos sexos;Total;5
Madrid. Móstoles;ambos sexos;menos de 24 horas;1
Madrid. Móstoles;ambos sexos;de 1 a 6 días;..
Madrid. Móstoles;ambos sexos;de 7 a 27 días;2
Madrid. Móstoles;ambos sexos;de 28 días a 2 meses;1
Madrid. Móstoles;ambos sexos;de 3 a 5 meses;1
Madrid. Móstoles;ambos sexos;de 6 a 8 meses;..
Madrid. Móstoles;ambos sexos;de 9 a 11 meses;..
Madrid. Móstoles;hombres;Total;2
Madrid. Móstoles;hombres;menos de 24 horas;1
Madrid. Móstoles;hombres;de 1 a 6 días;..
Madrid. Móstoles;hombres;de 7 a 27 días;1
Madrid. Móstoles;hombres;de 28 días a 2 meses;..
Madrid. Móstoles;hombres;de 3 a 5 meses;..
Madrid. Móstoles;hombres;de 6 a 8 meses;..
Madrid. Móstoles;hombres;de 9 a 11 meses;..
Madrid. Móstoles;mujeres;Total;3
Madrid. Móstoles;mujeres;menos de 24 horas;..
Madrid. Móstoles;mujeres;de 1 a 6 días;..
Madrid. Móstoles;mujeres;de 7 a 27 días;1
Madrid. Móstoles;mujeres;de 28 días a 2 meses;1
Madrid. Móstoles;mujeres;de 3 a 5 meses;1
Madrid. Móstoles;mujeres;de 6 a 8 meses;..
Madrid. Móstoles;mujeres;de 9 a 11 meses;..
Madrid. Parla;ambos sexos;Total;4
Madrid. Parla;ambos sexos;menos de 24 horas;..
Madrid. Parla;ambos sexos;de 1 a 6 días;2
Madrid. Parla;ambos sexos;de 7 a 27 días;1
Madrid. Parla;ambos sexos;de 28 días a 2 meses;..
Madrid. Parla;ambos sexos;de 3 a 5 meses;..
Madrid. Parla;ambos sexos;de 6 a 8 meses;1
Madrid. Parla;ambos sexos;de 9 a 11 meses;..
Madrid. Parla;hombres;Total;3
Madrid. Parla;hombres;menos de 24 horas;..
Madrid. Parla;hombres;de 1 a 6 días;2
Madrid. Parla;hombres;de 7 a 27 días;..
Madrid. Parla;hombres;de 28 días a 2 meses;..
Madrid. Parla;hombres;de 3 a 5 meses;..
Madrid. Parla;hombres;de 6 a 8 meses;1
Madrid. Parla;hombres;de 9 a 11 meses;..
Madrid. Parla;mujeres;Total;1
Madrid. Parla;mujeres;menos de 24 horas;..
Madrid. Parla;mujeres;de 1 a 6 días;..
Madrid. Parla;mujeres;de 7 a 27 días;1
Madrid. Parla;mujeres;de 28 días a 2 meses;..
Madrid. Parla;mujeres;de 3 a 5 meses;..
Madrid. Parla;mujeres;de 6 a 8 meses;..
Madrid. Parla;mujeres;de 9 a 11 meses;..
Madrid. Torrejón de Ardoz;ambos sexos;Total;2
Madrid. Torrejón de Ardoz;ambos sexos;menos de 24 horas;..
Madrid. Torrejón de Ardoz;ambos sexos;de 1 a 6 días;..
